사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
May-20,1호선,150,서울역,917128,866276,164309,154455
May-20,1호선,151,시청,418506,421540,59606,57496
May-20,1호선,152,종각,768519,751259,113420,106445
May-20,1호선,153,종로3가,428388,399882,272866,258827
May-20,1호선,154,종로5가,345795,358711,240851,231612
May-20,1호선,155,동대문,213742,220134,115710,120140
May-20,1호선,156,신설동,261099,262223,104972,100777
May-20,1호선,157,제기동,214775,210247,239192,255850
May-20,1호선,158,청량리(서울시립대입구),314602,308496,250231,255056
May-20,1호선,159,동묘앞,123775,135338,142827,144520
May-20,2호선,201,시청,473410,471436,41742,37811
May-20,2호선,202,을지로입구,820905,840953,78670,73616
May-20,2호선,203,을지로3가,418963,422650,59255,58936
May-20,2호선,204,을지로4가,224392,225724,79812,77724
May-20,2호선,205,동대문역사문화공원(DDP),266240,299137,46454,48902
May-20,2호선,206,신당,272686,278419,83601,85630
May-20,2호선,207,상왕십리,288421,273957,53458,53598
May-20,2호선,208,왕십리(성동구청),371973,313657,44342,37932
May-20,2호선,209,한양대,161644,178847,11327,11787
May-20,2호선,210,뚝섬,436340,471097,48599,49292
May-20,2호선,211,성수,665274,747681,84072,85813
May-20,2호선,212,건대입구,856580,936767,75215,77792
May-20,2호선,213,구의(광진구청),510903,492915,86974,88706
May-20,2호선,214,강변(동서울터미널),790927,778614,103186,100997
May-20,2호선,215,잠실나루,282046,270731,65314,65760
May-20,2호선,216,잠실(송파구청),1580411,1544243,146015,138548
May-20,2호선,217,잠실새내,441871,457093,82499,83105
May-20,2호선,218,종합운동장,145385,158789,29651,31158
May-20,2호선,219,삼성(무역센터),1101158,1134977,89028,82495
May-20,2호선,220,선릉,1122297,1005112,183152,162893
May-20,2호선,221,역삼,980725,1099090,130408,131735
May-20,2호선,222,강남,2010031,2024007,145213,128063
May-20,2호선,223,교대(법원.검찰청),695963,788287,124759,139625
May-20,2호선,224,서초,456671,448265,66651,68033
May-20,2호선,225,방배,354429,368004,59466,58603
May-20,2호선,226,사당,821322,930841,150681,146335
May-20,2호선,227,낙성대(강감찬),618618,585774,90051,91739
May-20,2호선,228,서울대입구(관악구청),1086414,1065344,158038,152879
May-20,2호선,229,봉천,501377,451329,123118,124243
May-20,2호선,230,신림,1484360,1419570,187519,188294
May-20,2호선,231,신대방,587126,556442,103673,105035
May-20,2호선,232,구로디지털단지,1342972,1339280,135028,135833
May-20,2호선,233,대림(구로구청),562375,572269,94109,97721
May-20,2호선,234,신도림,1134072,1124790,157322,149794
May-20,2호선,235,문래,436033,451852,62126,61801
May-20,2호선,236,영등포구청,456930,468729,82106,81463
May-20,2호선,237,당산,438739,502450,52086,56239
May-20,2호선,238,합정,718702,766783,57244,56151
May-20,2호선,239,홍대입구,1203512,1279518,78299,75667
May-20,2호선,240,신촌,744326,778081,100726,97229
May-20,2호선,241,이대,261526,271292,35478,36978
May-20,2호선,242,아현,192092,180818,51938,51554
May-20,2호선,243,충정로(경기대입구),202945,215983,38933,39185
May-20,2호선,244,용답,50263,49014,15688,15031
May-20,2호선,245,신답,30248,33841,8719,9279
May-20,2호선,246,신설동,62358,57884,28792,30494
May-20,2호선,247,도림천,23597,24548,5782,6126
May-20,2호선,248,양천구청,130062,135672,36220,37188
May-20,2호선,249,신정네거리,183837,191710,56363,57990
May-20,2호선,250,용두(동대문구청),37794,38444,19704,21142
May-20,3호선,309,지축,70500,66228,14800,15998
May-20,3호선,310,구파발,437421,415647,95103,90601
May-20,3호선,311,연신내,783230,736628,226072,219946
May-20,3호선,312,불광,314797,343165,115283,127493
May-20,3호선,313,녹번,282310,244831,57725,56911
May-20,3호선,314,홍제,331929,308424,122291,119607
May-20,3호선,315,무악재,72729,72646,23912,25782
May-20,3호선,316,독립문,124861,134506,61663,61695
May-20,3호선,317,경복궁(정부서울청사),394010,401023,61977,58599
May-20,3호선,318,안국,401131,432236,59372,61205
May-20,3호선,319,종로3가,186156,231562,46851,52818
May-20,3호선,320,을지로3가,199216,216492,43604,42633
May-20,3호선,321,충무로,26,0,2,0
May-20,3호선,322,동대입구,156342,168663,27259,30545
May-20,3호선,323,약수,258587,253891,67682,64935
May-20,3호선,324,금호,165615,150634,44623,43988
May-20,3호선,325,옥수,189380,194701,47990,48031
May-20,3호선,326,압구정,655476,714756,102763,100400
May-20,3호선,327,신사,690416,748596,60137,57972
May-20,3호선,328,잠원,119550,115232,29156,28623
May-20,3호선,329,고속터미널,1051579,1036132,132738,127615
May-20,3호선,330,교대(법원.검찰청),280464,185875,53711,32325
May-20,3호선,331,남부터미널(예술의전당),634391,649839,92565,93362
May-20,3호선,332,양재(서초구청),790400,865279,118047,119721
May-20,3호선,333,매봉,221421,214823,45503,41365
May-20,3호선,334,도곡,106519,109642,20009,17865
May-20,3호선,335,대치,222718,215620,46016,43776
May-20,3호선,336,학여울,32057,32863,10611,10427
May-20,3호선,337,대청,185679,169206,44639,42667
May-20,3호선,338,일원,166837,163154,44799,44164
May-20,3호선,339,수서,341662,341408,83954,82997
May-20,3호선,340,가락시장,165689,162985,62230,60750
May-20,3호선,341,경찰병원,146688,145882,33348,34097
May-20,3호선,342,오금,132238,118372,22940,22200
May-20,4호선,409,당고개,249563,225092,81430,80517
May-20,4호선,410,상계,398718,356421,100669,98670
May-20,4호선,411,노원,438797,509211,75876,74664
May-20,4호선,412,창동,522021,557512,166213,172846
May-20,4호선,413,쌍문,640755,564128,136015,133383
May-20,4호선,414,수유(강북구청),732092,717716,169650,168581
May-20,4호선,415,미아(서울사이버대학),298015,277710,98853,100115
May-20,4호선,416,미아사거리,585279,565181,158848,157683
May-20,4호선,417,길음,414454,389932,94386,94405
May-20,4호선,418,성신여대입구(돈암),452990,433476,74492,72113
May-20,4호선,419,한성대입구(삼선교),282783,279332,62029,61201
May-20,4호선,420,혜화,682236,707382,101298,100066
May-20,4호선,421,동대문,394356,407214,140707,132133
May-20,4호선,422,동대문역사문화공원(DDP),335943,316147,46867,42598
May-20,4호선,423,충무로,520098,546425,97614,98138
