기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 서울
기간 : 20190601~20190630

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2019-06-01,108,18.9,14.8,23.7
2019-06-02,108,21.1,14.1,27.8
2019-06-03,108,23.1,16,29.5
2019-06-04,108,22.6,17.6,29
2019-06-05,108,23,17.8,29.6
2019-06-06,108,21.2,18.6,25.1
2019-06-07,108,20,17,24.7
2019-06-08,108,21.9,16,27.6
2019-06-09,108,21.6,17.1,26.5
2019-06-10,108,18.4,15.7,21.9
2019-06-11,108,20.5,15.5,26.1
2019-06-12,108,21.5,16.1,26.4
2019-06-13,108,23,16.6,28.8
2019-06-14,108,23,19.1,28.4
2019-06-15,108,21.9,17.9,27.4
2019-06-16,108,22,16.1,27.2
2019-06-17,108,21.7,18.1,26.2
2019-06-18,108,20.8,17,24.8
2019-06-19,108,21.4,18.9,25.4
2019-06-20,108,22.7,19.8,27.8
2019-06-21,108,22.1,19.4,26.1
2019-06-22,108,24.2,17.7,30.6
2019-06-23,108,25,19.1,31
2019-06-24,108,25.2,20.9,30.9
2019-06-25,108,25.6,19.5,32.8
2019-06-26,108,25.5,20.7,29.5
2019-06-27,108,25.5,21.9,31.2
2019-06-28,108,24.7,22.3,29
2019-06-29,108,23.1,19.6,27.7
2019-06-30,108,23.9,20.9,28.5

